timestamp,symbol,spot_price,mark_price,basis_spread_pct,funding_rate_8h,annualized_apr,funding_regime,action,funding_collected_usd,fees_paid_usd,net_pnl_usd,status
1784505605570,BTCUSDT,64692.01,64686.90893478,-0.007885154936441792,4.89e-05,5.354550000000001,NORMAL (5-15% APR),NEUTRAL,0.0,0.0,0.0,OBSERVED
1784505605570,ETHUSDT,1870.89,1871.02802326,0.007377411820040433,2.897e-05,3.1722149999999996,LOW (<5% APR),NEUTRAL,0.0,0.0,0.0,OBSERVED
1784505683828,BTCUSDT,64611.99,64579.2,-0.050749094711369944,4.82e-05,5.2779,NORMAL (5-15% APR),NEUTRAL,0.0,0.0,0.0,FLAT
1784505683828,ETHUSDT,1868.98,1868.0,-0.052435018031226556,2.827e-05,3.0955649999999997,LOW (<5% APR),NEUTRAL,0.0,0.0,0.0,FLAT
1784505841691,BTCUSDT,64613.99,64570.67922039,-0.0670300342232405,4.712e-05,5.1596400000000004,NORMAL (5-15% APR),NEUTRAL,0.0,0.0,0.0,FLAT
1784505841691,ETHUSDT,1869.05,1868.17,-0.04708274256974836,2.77e-05,3.03315,LOW (<5% APR),NEUTRAL,0.0,0.0,0.0,FLAT
1784506077481,BTCUSDT,64805.99,64781.2,-0.03825263683187445,4.797e-05,5.252715000000001,NORMAL (5-15% APR),NEUTRAL,0.0,0.0,0.0,FLAT
1784506077481,ETHUSDT,1876.0,1875.30702326,-0.03693905863539174,3.082e-05,3.37479,LOW (<5% APR),NEUTRAL,0.0,0.0,0.0,FLAT
1784506087567,BTCUSDT,64798.01,64767.85625362,-0.046534988312148834,4.797e-05,5.252715000000001,NORMAL (5-15% APR),NEUTRAL,0.0,0.0,0.0,FLAT
1784506087567,ETHUSDT,1876.72,1875.78,-0.05008738650411647,3.082e-05,3.37479,LOW (<5% APR),NEUTRAL,0.0,0.0,0.0,FLAT
1784509403025,BTCUSDT,64572.0,64544.03092754,-0.043314551911045746,3.957e-05,4.332915000000001,LOW (<5% APR),NEUTRAL,0.0,0.0,0.0,FLAT
1784509403025,ETHUSDT,1874.22,1873.13384549,-0.057952348710392315,3.666e-05,4.014270000000001,LOW (<5% APR),NEUTRAL,0.0,0.0,0.0,FLAT
1785005558824,BTCUSDT,64446.7,64417.17901449,-0.04580682255258459,2.286e-05,2.50317,LOW (<5% APR),NEUTRAL,0.0,0.0,0.0,FLAT
1785005558824,ETHUSDT,1875.23,1874.16221705,-0.05694143918346214,2.328e-05,2.54916,LOW (<5% APR),NEUTRAL,0.0,0.0,0.0,FLAT
1785005567294,BTCUSDT,64446.71,64416.2201087,-0.04731023709356106,2.286e-05,2.50317,LOW (<5% APR),NEUTRAL,0.0,0.0,0.0,FLAT
1785005567294,ETHUSDT,1875.36,1874.35,-0.0538563262520258,2.328e-05,2.54916,LOW (<5% APR),NEUTRAL,0.0,0.0,0.0,FLAT
1785329717880,BTCUSDT,64293.81,64263.2,-0.04760955992497658,2.929e-05,3.207255,LOW (<5% APR),NEUTRAL,0.0,0.0,0.0,FLAT
1785329717880,ETHUSDT,1905.89,1905.06,-0.043549207981581024,7.464e-05,8.17308,NORMAL (5-15% APR),NEUTRAL,0.0,0.0,0.0,FLAT
1785329773977,BTCUSDT,64301.49,64275.91306522,-0.03977658181793527,2.929e-05,3.207255,LOW (<5% APR),NEUTRAL,0.0,0.0,0.0,FLAT
1785329773977,ETHUSDT,1906.01,1905.23865116,-0.04046929659340577,7.464e-05,8.17308,NORMAL (5-15% APR),NEUTRAL,0.0,0.0,0.0,FLAT
1785329993321,BTCUSDT,64276.82,64249.78371739,-0.0420622591627941,2.878e-05,3.15141,LOW (<5% APR),NEUTRAL,0.0,0.0,0.0,FLAT
1785329993321,ETHUSDT,1905.23,1904.43,-0.04198968103588305,7.421e-05,8.125995,NORMAL (5-15% APR),NEUTRAL,0.0,0.0,0.0,FLAT
1786273308350,BTCUSDT,64959.87,64936.8,-0.03551423363377992,4.147e-05,4.540965,LOW (<5% APR),NEUTRAL,0.0,0.0,0.0,FLAT
1786273308350,ETHUSDT,1920.45,1919.64642636,-0.04184298679996708,3.666e-05,4.014270000000001,LOW (<5% APR),NEUTRAL,0.0,0.0,0.0,FLAT
