timestamp,campaign_id,event_type,details,hash
1784653386708,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,2a7385cbfb01e0a4
1784653386711,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,a5ef5d457027aab3
1784656722935,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,b0b110d2756da54f
1784656722936,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,fc7d24521998c60c
1784657596762,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,5c419ca78cfa3c14
1784657596763,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,0a45ca52c827329e
1784663527796,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,c870b7a5345a3e10
1784663527798,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,e1209d315e58c29c
1784667657055,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,1f83a68b84965d38
1784667657056,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,d1323a4b077faad8
1784671884226,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,a9de08d3df05ffbe
1784671884227,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,a982480ee7361f2b
1784675459036,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,cd08dc3a000f84b5
1784675459037,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,c48cc503cae5f8d3
1785005567286,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,db3124a68efe051f
1785005567290,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,df426f3ae9c44ec3
1785009294091,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,2f2893c015ca2cd1
1785009294092,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,c7e7213b6c661acc
1785012171089,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,e67fb93641c54247
1785012171090,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,89e325085e4ca2ad
1785015437302,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,38b013eb0f5da04d
1785015437303,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,0ae84126547b95f2
1785018982773,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,bd0f8754cfa4679a
1785018982774,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,77d2831161373b7d
1785022944687,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,4cc40a5b72fdad70
1785022944691,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,fdda58ce8c77faa9
1785028509076,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,10632e51b420461a
1785028509077,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,f784296874f5108b
1785041076845,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,2b47c1944f5d3c34
1785041076847,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,7498ece064afd181
1785050571094,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,bbce992837fe1903
1785050571096,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,c5c90eaa56399a5d
1785058288346,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,804217d483bf961a
1785058288347,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,ab4f0ef32842531a
1785064108192,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,fc3d124402af7ce8
1785064108193,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,2db8ab756ef19a61
1785068185415,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,450af0bda394dbaa
1785068185416,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,99a34f72a490c51a
1785074815604,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,8d756fed0e22b125
1785074815605,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,78e44d1eec22b49b
1785079173975,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,69ed4b40b53ddf0c
1785079173976,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,1da58e66b3dd27d5
1785083302907,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,0761db2414538aab
1785083302909,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,b62dcc4d2c2a0143
1785087210195,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,711f53f1d1cea5cd
1785087210197,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,87daf9f575100e7f
1785091271884,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,7d5fba006b695a36
1785091271885,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,2348a6eb6990ca60
1785095569341,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,7617817e025383fa
1785095569343,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,d20345ed151858ac
1785099059219,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,fc38e1d9ba4d5dc2
1785099059220,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,87c3cb341a9e410e
1785102841473,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,759e36f4fa9ecdd0
1785102841474,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,e646cedadee5e37c
1785106479368,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,62e3dc7c53f14785
1785106479370,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,18291bc1dd57b7fd
1785110120465,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,e3b5762da6bdb86f
1785110120466,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,5a8345bcdc4de3f4
1785119059492,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,829d3d54923159f2
1785119059494,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,d919864f4a869eb1
1785132232869,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,cd586177f3332d31
1785132232871,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,7c16668269e9bc00
1785146876170,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,25ba746d45f5ab95
1785146876172,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,62bc8b30d90ce6ce
1785158480598,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,01c7bac7de26a045
1785158480599,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,d8f203720ab75de2
1785167861966,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,3f03950d8ec7882d
1785167861967,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,8d8f71875878841c
1785174172218,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,b13d971f0c8c71db
1785174172220,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,610f4a1da8bc8d86
1785178932024,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,67f3653a0408dcd2
1785178932025,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,f85b76095859ee9f
1785184942426,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,423d8902d41237b0
1785184942427,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,f0979bc55003b8df
1785188868266,CARRY-PAPER-V1-20260720,CAMPAIGN_STARTED,Live Paper Campaign CARRY-PAPER-V1-20260720 initialized,ada5753b1043814f
1785188868268,CARRY-PAPER-V1-20260720,HASH_VERIFIED,Frozen Strategy SHA256[3965622973c9fdc2] verified,fa8581659b5a7adc
